id_tags,Title,Author,Original Price (COP),Actual Price (COP),Discount %,Units Left,Link,Number of Opinions,Extra Information,Date
32485405,Siddartha,Hesen, 28.000, 26.823,4,Quedan 50 unidades,https://www.buscalibre.com.co/libro-siddartha/9789589196687/p/32485405,(0),"['', 'Nuevo']",2023-11-06
53434381,Siddartha,Array, 100.766, 65.498,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddartha/9781720469360/p/53434381,(0),"['Createspace Independent Publishing Platform', ' 2018', ' Tapa Blanda', 'Nuevo']",2023-11-06
17946638,Siddhartha (Ed. Escolar),Hermann Hesse, 46.000, 32.200,30,Quedan 79 unidades,https://www.buscalibre.com.co/libro-siddhartha-ed-escolar/9789588611280/p/17946638,(12),"['Debolsillo', ' 2010', ' Tapa blanda', 'Nuevo']",2023-11-06
52804400,Siddhartha,Hermann Hesse, 54.000, 52.329,,Quedan 76 unidades,https://www.buscalibre.com.co/libro-siddhartha/9788466350952/p/52804400,(15),"['Debolsillo', ' 2020', ' 1ª edición', ' Tapa dura', 'Nuevo']",2023-11-06
48128579,Siddhartha. Alma de Niño,Hermann Hesse, 105.998, 68.899,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-alma-de-nino/9789561230200/p/48128579,(7),"['Zig-Zag', ' 2013', ' Tapa Blanda', 'Nuevo']",2023-11-06
47337683,Siddhartha,Hermann Hesse, 75.638, 49.164,35,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9789807716000/p/47337683,(1),"['Lucemar', ' 2014', ' 1ª edición', ' Tapa Blanda', 'Nuevo']",2023-11-06
7110928,Siddhartha,"Hesse, Hermann", 93.245, 60.609,35,Quedan 5 unidades,https://www.buscalibre.com.co/libro-siddhartha/9788499899855/p/7110928,(8),"['Debolsillo', ' 2017', ' 001ª edición', ' Tapa Blanda', 'Nuevo']",2023-11-06
54962669,La Armonía de las Células,Siddhartha Mukherjee, 79.000, 55.300,30,Quedan 56 unidades,https://www.buscalibre.com.co/libro-la-armonia-de-las-celulas/9789585132887/p/54962669,(3),"['Debate', ' 2023', ' 1ª edición', ' Tapa Blanda', 'Nuevo']",2023-11-06
998421,Siddhartha,Hermann Hesse,, 94.900,,Quedan 9 unidades,https://www.buscalibre.com.co/libro-siddhartha/9788435009027/p/998421,(2),"['Edhasa', ' 2002', ' 1ª edición', ' Tapa Dura', 'Nuevo']",2023-11-06
51420876,Siddhartha,, 98.382, 63.948,35,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9789563161816/p/51420876,(0),"['Origo Ediciones', 'Usado']",2023-11-06
