Countries,Type of Coffee,Crop Group,Crop Year,Total Production (x1000 60kg) bags,Domestic Consumption (x1000 60kg) bags,Gross Opening Stock (x1000 60kg) bags,Exports Crop Year in (x1000 60kg) bags
Angola,Robustica/Arabica,April Group,1990,50,20,210,79
Bolivia (Plurinational State of),Arabica,April Group,1990,123,25,54,112
Brazil,Arabica/Robusta,April Group,1990,27286,8200,26926,17863
Burundi,Arabica/Robusta,April Group,1990,487,2,77,412
Ecuador,Arabica/Robusta,April Group,1990,1504,350,724,1628
Indonesia,Robustica/Arabica,April Group,1990,7441,1242,1319,6720
Madagascar,Robusta,April Group,1990,982,350,544,726
Malawi,Arabica,April Group,1990,105,2,20,104
Papua New Guinea,Arabica/Robusta,April Group,1990,963,3,199,1013
Paraguay,Arabica,April Group,1990,131,15,188,169
Peru,Arabica,April Group,1990,937,190,318,1004
Rwanda,Arabica,April Group,1990,535,1,134,659
Timor-Leste,Arabica,April Group,1990,0,0,0,0
Zimbabwe,Arabica,April Group,1990,252,8,160,286
Congo,Robusta,July Group,1990,3,3,12,1
Cuba,Arabica,July Group,1990,414,213,266,178
Dominican Republic,Arabica/Robusta,July Group,1990,880,320,560,480
Haiti,Arabica,July Group,1990,393,220,47,190
Philippines,Robustica/Arabica,July Group,1990,974,720,1223,133
Tanzania,Arabica/Robusta,July Group,1990,932,4,450,970
Zambia,Arabica,July Group,1990,23,2,1,22
Cameroon,Robustica/Arabica,October Group,1990,1682,83,1344,1857
Central African Republic,Robusta,October Group,1990,175,28,55,143
Colombia,Arabica,October Group,1990,14396,1235,3721,12212
Costa Rica,Arabica,October Group,1990,2562,375,343,2410
Côte d'Ivoire,Robusta,October Group,1990,2940,50,4796,4334
Democratic Republic of Congo,Robustica/Arabica,October Group,1990,1580,200,116,1479
El Salvador,Arabica,October Group,1990,2465,180,245,2018
Equatorial Guinea,Robusta,October Group,1990,4,0,2,2
Ethiopia,Arabica,October Group,1990,2909,1200,2800,849
Gabon,Robusta,October Group,1990,3,2,2,2
Ghana,Robusta,October Group,1990,38,17,4,15
Guatemala,Arabica/Robusta,October Group,1990,3271,300,77,2803
Guinea,Robusta,October Group,1990,44,25,45,54
Guyana,Robusta,October Group,1990,0,0,0,0
Honduras,Arabica,October Group,1990,1568,188,101,1427
India,Robustica/Arabica,October Group,1990,2829,903,842,1511
Jamaica,Arabica,October Group,1990,23,7,0,16
Kenya,Arabica,October Group,1990,1485,50,766,1649
Lao People's Democratic Republic,Robusta,October Group,1990,0,0,0,98
Liberia,Robusta,October Group,1990,3,3,0,0
Mexico,Arabica/Robusta,October Group,1990,4674,1374,974,3526
Nepal,Arabica,October Group,1990,0,0,0,0
Nicaragua,Arabica,October Group,1990,461,34,56,420
Nigeria,Robusta,October Group,1990,29,28,0,2
Panama,Arabica,October Group,1990,215,63,18,130
Sierra Leone,Robusta,October Group,1990,43,9,127,87
Sri Lanka,Robustica/Arabica,October Group,1990,96,67,10,33
Thailand,Robustica/Arabica,October Group,1990,757,188,71,433
Togo,Robusta,October Group,1990,161,1,59,181
Trinidad & Tobago,Robusta,October Group,1990,15,8,5,12
Uganda,Robustica/Arabica,October Group,1990,1955,70,3100,2085
Venezuela,Arabica,October Group,1990,1122,782,142,132
Viet Nam,Robustica/Arabica,October Group,1990,1310,150,181,1146
Yemen,Arabica,October Group,1990,0,0,0,73
Angola,Robustica/Arabica,April Group,1991,79,30,161,74
Bolivia (Plurinational State of),Arabica,April Group,1991,104,27,40,83
Brazil,Arabica/Robusta,April Group,1991,27293,8500,25548,21808
Burundi,Arabica/Robusta,April Group,1991,667,2,150,762
Ecuador,Arabica/Robusta,April Group,1991,2124,350,250,1472
Indonesia,Robustica/Arabica,April Group,1991,8493,1280,798,5584
Madagascar,Robusta,April Group,1991,933,300,450,679
Malawi,Arabica,April Group,1991,124,2,19,122
Papua New Guinea,Arabica/Robusta,April Group,1991,747,3,146,795
Paraguay,Arabica,April Group,1991,80,15,135,85
Peru,Arabica,April Group,1991,1200,190,61,971
Rwanda,Arabica,April Group,1991,484,1,9,482
Timor-Leste,Arabica,April Group,1991,0,0,0,0
Zimbabwe,Arabica,April Group,1991,201,8,118,214
Congo,Robusta,July Group,1991,3,3,11,0
Cuba,Arabica,July Group,1991,302,213,289,159
Dominican Republic,Arabica/Robusta,July Group,1991,321,320,640,341
Haiti,Arabica,July Group,1991,463,330,30,133
Philippines,Robustica/Arabica,July Group,1991,1018,750,1344,58
Tanzania,Arabica/Robusta,July Group,1991,790,4,408,808
Zambia,Arabica,July Group,1991,29,2,0,27
Cameroon,Robustica/Arabica,October Group,1991,1726,83,1086,1738
Central African Republic,Robusta,October Group,1991,125,28,59,92
Colombia,Arabica,October Group,1991,17980,1269,4669,15467
Costa Rica,Arabica,October Group,1991,2760,375,120,2275
Côte d'Ivoire,Robusta,October Group,1991,4129,50,3352,3857
Democratic Republic of Congo,Robustica/Arabica,October Group,1991,1230,200,17,1026
El Salvador,Arabica,October Group,1991,2198,180,512,2176
Equatorial Guinea,Robusta,October Group,1991,3,0,4,5
Ethiopia,Arabica,October Group,1991,2925,1264,3660,669
Gabon,Robusta,October Group,1991,2,1,2,2
Ghana,Robusta,October Group,1991,76,17,10,26
Guatemala,Arabica/Robusta,October Group,1991,3497,300,245,3288
Guinea,Robusta,October Group,1991,91,25,10,66
Guyana,Robusta,October Group,1991,0,0,0,1
Honduras,Arabica,October Group,1991,2322,257,54,1800
India,Robustica/Arabica,October Group,1991,3000,917,1257,2024
Jamaica,Arabica,October Group,1991,39,11,0,20
