Countries,Type of Coffee,Year,Price paid to Growers in US cents/lb
Colombia,Arabica,1990,69.52
Kenya,Arabica,1990,60.57
Tanzania,Arabica,1990,40.82
Bolivia (Plurinational State of),Arabica,1990,51.78
Burundi,Arabica,1990,58.02
Cameroon,Arabica,1990,32.29
Costa Rica,Arabica,1990,58.49
Cuba,Arabica,1990,171.43
Democratic Republic of Congo,Arabica,1990,0.0
Dominican Republic,Arabica,1990,66.06
Ecuador,Arabica,1990,35.21
El Salvador,Arabica,1990,50.56
Guatemala,Arabica,1990,54.58
Haiti,Arabica,1990,41.28
Honduras,Arabica,1990,50.35
India,Arabica,1990,66.75
Jamaica,Arabica,1990,171.55
Madagascar,Arabica,1990,0.0
Malawi,Arabica,1990,84.87
Mexico,Arabica,1990,79.56
Nicaragua,Arabica,1990,0.0
Panama,Arabica,1990,49.3
Papua New Guinea,Arabica,1990,65.5
Peru,Arabica,1990,90.37
Rwanda,Arabica,1990,74.2
Sri Lanka,Arabica,1990,0.0
Uganda,Arabica,1990,15.29
Venezuela,Arabica,1990,0.0
Zambia,Arabica,1990,89.75
Zimbabwe,Arabica,1990,0.0
Angola,Arabica,1990,0.0
Brazil,Arabica,1990,54.32
Ethiopia,Arabica,1990,61.09
Indonesia,Arabica,1990,0.0
Philippines,Arabica,1990,0.0
Thailand,Arabica,1990,0.0
Viet Nam,Arabica,1990,0.0
Angola,Robusta,1990,85.66
Benin,Robusta,1990,53.76
Brazil,Robusta,1990,34.85
Burundi,Robusta,1990,0.0
Cameroon,Robusta,1990,28.33
Central African Republic,Robusta,1990,36.75
Congo,Robusta,1990,19.21
Côte d'Ivoire,Robusta,1990,33.41
Democratic Republic of Congo,Robusta,1990,4.52
Ecuador,Robusta,1990,19.06
Gabon,Robusta,1990,43.43
Ghana,Robusta,1990,0.0
Guinea,Robusta,1990,34.37
India,Robusta,1990,44.35
Indonesia,Robusta,1990,29.68
Liberia,Robusta,1990,0.0
Madagascar,Robusta,1990,32.45
Nigeria,Robusta,1990,70.52
Papua New Guinea,Robusta,1990,26.6
Philippines,Robusta,1990,34.23
Sierra Leone,Robusta,1990,26.17
Sri Lanka,Robusta,1990,26.9
Tanzania,Robusta,1990,17.01
Thailand,Robusta,1990,37.72
Togo,Robusta,1990,29.23
Trinidad & Tobago,Robusta,1990,62.59
Uganda,Robusta,1990,7.54
Viet Nam,Robusta,1990,36.92
Colombia,Arabica,1991,67.13
Kenya,Arabica,1991,50.68
Tanzania,Arabica,1991,49.5
Bolivia (Plurinational State of),Arabica,1991,52.42
Burundi,Arabica,1991,55.02
Cameroon,Arabica,1991,28.23
Costa Rica,Arabica,1991,52.73
Cuba,Arabica,1991,171.43
Democratic Republic of Congo,Arabica,1991,0.0
Dominican Republic,Arabica,1991,62.64
Ecuador,Arabica,1991,36.18
El Salvador,Arabica,1991,44.54
Guatemala,Arabica,1991,57.53
Haiti,Arabica,1991,23.99
Honduras,Arabica,1991,56.12
India,Arabica,1991,61.53
Jamaica,Arabica,1991,227.42
Madagascar,Arabica,1991,0.0
Malawi,Arabica,1991,70.94
Mexico,Arabica,1991,86.56
Nicaragua,Arabica,1991,44.14
Panama,Arabica,1991,47.25
Papua New Guinea,Arabica,1991,64.53
Peru,Arabica,1991,0.0
Rwanda,Arabica,1991,50.38
Sri Lanka,Arabica,1991,0.0
Uganda,Arabica,1991,29.64
Venezuela,Arabica,1991,0.0
Zambia,Arabica,1991,70.32
Zimbabwe,Arabica,1991,0.0
Angola,Arabica,1991,0.0
Brazil,Arabica,1991,43.99
Ethiopia,Arabica,1991,68.19
Indonesia,Arabica,1991,0.0
Philippines,Arabica,1991,0.0
Thailand,Arabica,1991,0.0
Viet Nam,Arabica,1991,0.0
Angola,Robusta,1991,91.12
Benin,Robusta,1991,22.9
Brazil,Robusta,1991,27.49
Burundi,Robusta,1991,0.0
Cameroon,Robusta,1991,25.01
Central African Republic,Robusta,1991,36.64
Congo,Robusta,1991,18.55
Côte d'Ivoire,Robusta,1991,32.27
Democratic Republic of Congo,Robusta,1991,0.0
Ecuador,Robusta,1991,17.84
Gabon,Robusta,1991,43.58
Ghana,Robusta,1991,0.0
Guinea,Robusta,1991,30.25
India,Robusta,1991,40.65
Indonesia,Robusta,1991,29.92
Liberia,Robusta,1991,0.0
Madagascar,Robusta,1991,22.76
Nigeria,Robusta,1991,59.03
Papua New Guinea,Robusta,1991,29.48
Philippines,Robusta,1991,34.61
Sierra Leone,Robusta,1991,0.0
Sri Lanka,Robusta,1991,25.29
Tanzania,Robusta,1991,17.11
Thailand,Robusta,1991,18.37
Togo,Robusta,1991,28.64
Trinidad & Tobago,Robusta,1991,62.59
Uganda,Robusta,1991,11.84
Viet Nam,Robusta,1991,30.73
Colombia,Arabica,1992,54.57
Kenya,Arabica,1992,28.95
Tanzania,Arabica,1992,49.16
Bolivia (Plurinational State of),Arabica,1992,43.53
Burundi,Arabica,1992,59.23
Cameroon,Arabica,1992,28.76
Costa Rica,Arabica,1992,49.91
Cuba,Arabica,1992,180.0
Democratic Republic of Congo,Arabica,1992,0.0
Dominican Republic,Arabica,1992,46.56
Ecuador,Arabica,1992,29.08
El Salvador,Arabica,1992,30.91
Guatemala,Arabica,1992,40.23
Haiti,Arabica,1992,8.75
Honduras,Arabica,1992,40.14
India,Arabica,1992,53.96
Jamaica,Arabica,1992,182.51
Madagascar,Arabica,1992,0.0
Malawi,Arabica,1992,48.68
Mexico,Arabica,1992,58.25
Nicaragua,Arabica,1992,44.14
Panama,Arabica,1992,44.37
Papua New Guinea,Arabica,1992,57.96
Peru,Arabica,1992,31.97
Rwanda,Arabica,1992,48.91
Sri Lanka,Arabica,1992,0.0
Uganda,Arabica,1992,20.0
Venezuela,Arabica,1992,0.0
Zambia,Arabica,1992,34.96
Zimbabwe,Arabica,1992,0.0
Angola,Arabica,1992,0.0
Brazil,Arabica,1992,45.2
Ethiopia,Arabica,1992,61.21
Indonesia,Arabica,1992,0.0
Philippines,Arabica,1992,55.74
Thailand,Arabica,1992,0.0
Viet Nam,Arabica,1992,0.0
Angola,Robusta,1992,44.92
Benin,Robusta,1992,24.01
Brazil,Robusta,1992,27.59
Burundi,Robusta,1992,47.16
Cameroon,Robusta,1992,24.25
Central African Republic,Robusta,1992,33.93
Congo,Robusta,1992,19.75
Côte d'Ivoire,Robusta,1992,31.76
Democratic Republic of Congo,Robusta,1992,0.0
Ecuador,Robusta,1992,23.31
Gabon,Robusta,1992,51.52
Ghana,Robusta,1992,0.0
Guinea,Robusta,1992,23.75
India,Robusta,1992,39.77
Indonesia,Robusta,1992,24.92
Liberia,Robusta,1992,0.0
Madagascar,Robusta,1992,22.62
Nigeria,Robusta,1992,39.5
Papua New Guinea,Robusta,1992,39.1
Philippines,Robusta,1992,42.48
Sierra Leone,Robusta,1992,0.0
Sri Lanka,Robusta,1992,31.85
