Countries,Year,Retail Prices of Roasted Coffee in US$/lb
Austria,1990,4.9
Belgium,1990,3.27
Bulgaria,1990,0
Cyprus,1990,2.83
Czechia,1990,0
Denmark,1990,3.81
Finland,1990,2.98
France,1990,3.73
Germany,1990,3.99
Hungary,1990,0
Italy,1990,5.31
Latvia,1990,0
Lithuania,1990,0
Luxembourg,1990,0
Malta,1990,0
Netherlands,1990,3.03
Poland,1990,0
Portugal,1990,4.12
Slovakia,1990,0
Slovenia,1990,0
Spain,1990,3.62
Sweden,1990,3.43
Japan,1990,10.26
Norway,1990,3.31
Russian Federation,1990,0
Switzerland,1990,4.83
United Kingdom,1990,10.55
United States of America,1990,2.97
Austria,1991,4.57
Belgium,1991,2.92
Bulgaria,1991,0
Cyprus,1991,2.8
Czechia,1991,0
Denmark,1991,3.67
Finland,1991,2.72
France,1991,3.43
Germany,1991,3.84
Hungary,1991,0
Italy,1991,5.62
Latvia,1991,0
Lithuania,1991,0
Luxembourg,1991,0
Malta,1991,0
Netherlands,1991,2.95
Poland,1991,0
Portugal,1991,4.27
Slovakia,1991,0
Slovenia,1991,0
Spain,1991,3.5
Sweden,1991,3.29
Japan,1991,11.88
Norway,1991,3.16
Russian Federation,1991,0
Switzerland,1991,4.36
United Kingdom,1991,10.41
United States of America,1991,2.81
Austria,1992,4.99
Belgium,1992,3.05
Bulgaria,1992,0
Cyprus,1992,2.87
Czechia,1992,0
Denmark,1992,3.79
Finland,1992,2.46
France,1992,2.31
Germany,1992,4.0
Hungary,1992,0
Italy,1992,5.86
Latvia,1992,0
Lithuania,1992,0
Luxembourg,1992,0
Malta,1992,0
Netherlands,1992,3.13
Poland,1992,0
Portugal,1992,4.95
Slovakia,1992,0
Slovenia,1992,0
Spain,1992,3.5
Sweden,1992,3.11
Japan,1992,12.62
Norway,1992,3.12
Russian Federation,1992,0
Switzerland,1992,4.52
United Kingdom,1992,10.09
United States of America,1992,2.58
Austria,1993,4.97
Belgium,1993,2.78
Bulgaria,1993,0
Cyprus,1993,2.6
Czechia,1993,0
Denmark,1993,3.48
Finland,1993,1.94
France,1993,2.03
Germany,1993,3.62
Hungary,1993,0
Italy,1993,4.59
Latvia,1993,1.84
Lithuania,1993,0
Luxembourg,1993,0
Malta,1993,0
Netherlands,1993,2.8
Poland,1993,0
Portugal,1993,4.27
Slovakia,1993,0
Slovenia,1993,0
Spain,1993,2.79
Sweden,1993,2.65
Japan,1993,14.57
Norway,1993,2.46
Russian Federation,1993,0
Switzerland,1993,4.27
United Kingdom,1993,8.44
United States of America,1993,2.47
Austria,1994,4.58
Belgium,1994,3.42
Bulgaria,1994,0
Cyprus,1994,3.18
Czechia,1994,0
Denmark,1994,4.45
Finland,1994,2.73
France,1994,2.4
Germany,1994,4.18
Hungary,1994,3.88
Italy,1994,4.68
Latvia,1994,2.21
Lithuania,1994,0
Luxembourg,1994,0
Malta,1994,0
Netherlands,1994,3.26
Poland,1994,0
Portugal,1994,4.38
Slovakia,1994,0
Slovenia,1994,0
Spain,1994,2.76
Sweden,1994,3.79
Japan,1994,14.69
Norway,1994,3.29
Russian Federation,1994,0
Switzerland,1994,4.5
United Kingdom,1994,11.36
United States of America,1994,3.4
Austria,1995,5.18
Belgium,1995,4.88
Bulgaria,1995,0
Cyprus,1995,4.26
Czechia,1995,0
Denmark,1995,5.57
Finland,1995,3.97
France,1995,3.69
Germany,1995,5.02
Hungary,1995,5.04
