Re-exports by selected importing  countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In thousand 60-kg bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calendar years,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,"7,268","8,085","8,554","8,489","9,201","8,801","9,564","10,543","11,799","12,186","13,710","15,270","16,032","17,062","17,492","19,900","21,521","23,771","26,856","26,537","27,737","28,487","29,634","29,225","31,820","33,363","35,023","35,569","36,883","38,890"
   Austria,415,756,960,535,381,229,163,222,210,398,409,440,528,620,543,806,991,"1,120",992,415,463,365,304,311,386,378,308,308,257,274
   Belgium,,,,,,,,,,"2,169","2,357","2,324","2,308","2,238","2,572","2,905","3,067","2,911","6,142","4,981","5,053","4,894","4,754","4,257","3,953",4460,4550,4377,4377,5014
   Belgium/Luxembourg,891,"1,038","1,131","1,274","1,304","1,328","1,487","1,658","2,270",,,,,,,,,,,,,,,,,,,,,
   Bulgaria,166,183,7,70,110,122,26,19,18,4,6,5,3,3,3,11,14,29,72,114,133,122,184,191,244,275,327,292,312,362
   Croatia,,,34,31,30,32,17,24,19,15,17,15,16,17,18,18,18,27,28,28,24,24,24,26,51,63,99,78,86,86
   Cyprus,16,7,4,2,1,1,1,1,1,2,1,4,4,6,7,9,18,2,0,,2,0,1,2,8,3,4,2,1,23
   Czechia,,,3,66,45,42,50,76,241,170,249,266,246,351,324,407,309,358,416,405,481,380,441,546,825,1359,973,703,746,766
   Denmark,94,74,103,103,125,119,111,141,160,225,231,235,271,278,271,199,182,201,212,184,208,147,113,99,105,109,152,120,128,130
   Estonia,,,3,7,20,25,33,42,45,36,8,54,9,19,47,76,87,176,181,234,158,100,53,36,14,7,13,25,21,25
   Finland,19,21,35,198,217,97,172,205,186,215,172,148,119,122,129,54,121,150,170,185,193,194,156,181,183,211,242,298,179,168
   France,913,"1,007","1,023",976,"1,165","1,081","1,182","1,166","1,193","1,141","1,073","1,267","1,264","1,328","1,040","1,028",957,901,964,"1,014","1,060","1,043","1,019","1,014","1,097",1209,1298,1514,1649,1812
