Countries,Year,Exports of all forms of Coffee in (x1000 60kg) bags
Angola,1990,84
Bolivia (Plurinational State of),1990,156
Brazil,1990,16936
Burundi,1990,585
Cameroon,1990,2611
Central African Republic,1990,197
Colombia,1990,13944
Congo,1990,2
Costa Rica,1990,2266
Côte d'Ivoire,1990,4283
Cuba,1990,182
Democratic Republic of Congo,1990,1839
Dominican Republic,1990,535
Ecuador,1990,1784
El Salvador,1990,2510
Equatorial Guinea,1990,7
Ethiopia,1990,1074
Gabon,1990,2
Ghana,1990,11
Guatemala,1990,3240
Guinea,1990,122
Guyana,1990,0
Haiti,1990,191
Honduras,1990,1735
India,1990,1979
Indonesia,1990,6903
Jamaica,1990,15
Kenya,1990,1969
Lao People's Democratic Republic,1990,98
Liberia,1990,22
Madagascar,1990,863
Malawi,1990,124
Mexico,1990,3683
Nepal,1990,0
Nicaragua,1990,671
Nigeria,1990,4
Panama,1990,132
Papua New Guinea,1990,1051
Paraguay,1990,263
Peru,1990,1105
Philippines,1990,168
Rwanda,1990,779
Sierra Leone,1990,140
Sri Lanka,1990,19
Tanzania,1990,1019
Thailand,1990,1001
Timor-Leste,1990,0
Togo,1990,239
Trinidad & Tobago,1990,30
Uganda,1990,2353
Venezuela,1990,278
Viet Nam,1990,1145
Yemen,1990,50
Zambia,1990,24
Zimbabwe,1990,251
Angola,1991,71
Bolivia (Plurinational State of),1991,74
Brazil,1991,21183
Burundi,1991,688
Cameroon,1991,1752
Central African Republic,1991,141
Colombia,1991,12599
Congo,1991,1
Costa Rica,1991,2400
Côte d'Ivoire,1991,3805
Cuba,1991,121
Democratic Republic of Congo,1991,1418
Dominican Republic,1991,476
Ecuador,1991,1416
El Salvador,1991,2148
Equatorial Guinea,1991,3
Ethiopia,1991,841
Gabon,1991,3
Ghana,1991,16
Guatemala,1991,2832
Guinea,1991,61
Guyana,1991,0
Haiti,1991,151
Honduras,1991,1444
India,1991,1727
Indonesia,1991,6171
Jamaica,1991,17
Kenya,1991,1558
Lao People's Democratic Republic,1991,98
Liberia,1991,0
Madagascar,1991,588
Malawi,1991,100
Mexico,1991,3531
Nepal,1991,0
Nicaragua,1991,392
Nigeria,1991,1
Panama,1991,124
Papua New Guinea,1991,788
Paraguay,1991,120
Peru,1991,1042
Philippines,1991,103
Rwanda,1991,474
Sierra Leone,1991,104
Sri Lanka,1991,22
Tanzania,1991,871
Thailand,1991,541
Timor-Leste,1991,0
Togo,1991,155
Trinidad & Tobago,1991,8
Uganda,1991,2095
Venezuela,1991,128
Viet Nam,1991,1201
Yemen,1991,72
Zambia,1991,29
Zimbabwe,1991,239
Angola,1992,80
Bolivia (Plurinational State of),1992,96
Brazil,1992,18791
Burundi,1992,646
Cameroon,1992,1646
Central African Republic,1992,100
Colombia,1992,16564
Congo,1992,0
Costa Rica,1992,2431
Côte d'Ivoire,1992,4546
Cuba,1992,163
Democratic Republic of Congo,1992,954
Dominican Republic,1992,369
Ecuador,1992,1273
El Salvador,1992,2120
Equatorial Guinea,1992,3
Ethiopia,1992,734
Gabon,1992,1
Ghana,1992,32
Guatemala,1992,3328
Guinea,1992,58
Guyana,1992,1
Haiti,1992,166
Honduras,1992,1960
India,1992,1816
Indonesia,1992,4604
Jamaica,1992,22
Kenya,1992,1384
Lao People's Democratic Republic,1992,102
Liberia,1992,0
Madagascar,1992,736
Malawi,1992,128
Mexico,1992,3332
Nepal,1992,0
Nicaragua,1992,636
Nigeria,1992,11
Panama,1992,125
Papua New Guinea,1992,917
Paraguay,1992,40
Peru,1992,1061
Philippines,1992,41
Rwanda,1992,645
Sierra Leone,1992,47
Sri Lanka,1992,15
Tanzania,1992,828
Thailand,1992,1164
Timor-Leste,1992,0
Togo,1992,313
Trinidad & Tobago,1992,2
Uganda,1992,1961
Venezuela,1992,136
Viet Nam,1992,1938
Yemen,1992,37
Zambia,1992,31
Zimbabwe,1992,162
Angola,1993,39
Bolivia (Plurinational State of),1993,47
Brazil,1993,17838
Burundi,1993,418
Cameroon,1993,705
Central African Republic,1993,137
Colombia,1993,13568
Congo,1993,1
Costa Rica,1993,2364
Côte d'Ivoire,1993,4033
Cuba,1993,116
Democratic Republic of Congo,1993,920
Dominican Republic,1993,331
Ecuador,1993,1599
El Salvador,1993,2947
Equatorial Guinea,1993,2
Ethiopia,1993,1167
Gabon,1993,2
Ghana,1993,47
Guatemala,1993,3751
Guinea,1993,15
Guyana,1993,0
Haiti,1993,159
Honduras,1993,1705
India,1993,2102
Indonesia,1993,5662
Jamaica,1993,24
Kenya,1993,1439
Lao People's Democratic Republic,1993,142
Liberia,1993,0
Madagascar,1993,628
Malawi,1993,104
Mexico,1993,3264
Nepal,1993,0
Nicaragua,1993,476
Nigeria,1993,10
Panama,1993,129
Papua New Guinea,1993,1055
Paraguay,1993,58
Peru,1993,775
Philippines,1993,35
Rwanda,1993,481
Sierra Leone,1993,41
Sri Lanka,1993,14
Tanzania,1993,1037
Thailand,1993,982
Timor-Leste,1993,0
Togo,1993,218
Trinidad & Tobago,1993,10
Uganda,1993,1829
Venezuela,1993,525
Viet Nam,1993,2072
Yemen,1993,51
Zambia,1993,23
Zimbabwe,1993,70
Angola,1994,8
Bolivia (Plurinational State of),1994,84
Brazil,1994,17273
Burundi,1994,508
Cameroon,1994,546
Central African Republic,1994,137
Colombia,1994,11768
Congo,1994,1
Costa Rica,1994,2105
Côte d'Ivoire,1994,2444
Cuba,1994,136
Democratic Republic of Congo,1994,761
Dominican Republic,1994,332
Ecuador,1994,2145
El Salvador,1994,2093
Equatorial Guinea,1994,1
Ethiopia,1994,1475
Gabon,1994,5
Ghana,1994,11
Guatemala,1994,3274
Guinea,1994,50
Guyana,1994,0
Haiti,1994,103
Honduras,1994,1718
India,1994,2496
Indonesia,1994,4605
Jamaica,1994,16
Kenya,1994,1358
Lao People's Democratic Republic,1994,153
Liberia,1994,0
Madagascar,1994,436
Malawi,1994,78
Mexico,1994,2789
Nepal,1994,0
Nicaragua,1994,624
Nigeria,1994,8
Panama,1994,76
Papua New Guinea,1994,1157
Paraguay,1994,48
Peru,1994,1057
Philippines,1994,126
Rwanda,1994,30
Sierra Leone,1994,62
Sri Lanka,1994,47
Tanzania,1994,632
Thailand,1994,1136
Timor-Leste,1994,0
Togo,1994,166
Trinidad & Tobago,1994,5
Uganda,1994,3369
Venezuela,1994,386
Viet Nam,1994,2721
Yemen,1994,93
Zambia,1994,24
Zimbabwe,1994,32
Angola,1995,41
Bolivia (Plurinational State of),1995,94
Brazil,1995,14468
Burundi,1995,528
Cameroon,1995,407
Central African Republic,1995,232
Colombia,1995,9814
Congo,1995,19
Costa Rica,1995,2067
Côte d'Ivoire,1995,2494
Cuba,1995,122
Democratic Republic of Congo,1995,1051
Dominican Republic,1995,451
Ecuador,1995,1540
El Salvador,1995,1807
Equatorial Guinea,1995,3
Ethiopia,1995,1276
Gabon,1995,3
Ghana,1995,38
Guatemala,1995,3701
Guinea,1995,152
Guyana,1995,0
Haiti,1995,152
Honduras,1995,1796
India,1995,2467
Indonesia,1995,3947
Jamaica,1995,26
Kenya,1995,1450
Lao People's Democratic Republic,1995,165
Liberia,1995,0
Madagascar,1995,585
Malawi,1995,92
Mexico,1995,3626
Nepal,1995,0
Nicaragua,1995,681
Nigeria,1995,15
Panama,1995,181
Papua New Guinea,1995,1002
Paraguay,1995,21
Peru,1995,1760
Philippines,1995,57
Rwanda,1995,314
Sierra Leone,1995,71
Sri Lanka,1995,22
Tanzania,1995,745
Thailand,1995,1210
Timor-Leste,1995,0
Togo,1995,200
Trinidad & Tobago,1995,4
Uganda,1995,3079
Venezuela,1995,97
Viet Nam,1995,3546
Yemen,1995,77
Zambia,1995,21
Zimbabwe,1995,157
Angola,1996,52
Bolivia (Plurinational State of),1996,123
Brazil,1996,15251
Burundi,1996,224
Cameroon,1996,564
Central African Republic,1996,98
Colombia,1996,10588
Congo,1996,13
Costa Rica,1996,2430
Côte d'Ivoire,1996,2751
Cuba,1996,112
Democratic Republic of Congo,1996,882
Dominican Republic,1996,453
Ecuador,1996,1539
El Salvador,1996,2314
Equatorial Guinea,1996,2
Ethiopia,1996,1838
Gabon,1996,2
Ghana,1996,4
Guatemala,1996,3979
Guinea,1996,32
Guyana,1996,0
Haiti,1996,156
Honduras,1996,2060
India,1996,3103
Indonesia,1996,6440
Jamaica,1996,27
Kenya,1996,1902
Lao People's Democratic Republic,1996,144
Liberia,1996,0
Madagascar,1996,718
Malawi,1996,60
Mexico,1996,4633
Nepal,1996,0
Nicaragua,1996,822
Nigeria,1996,7
Panama,1996,139
Papua New Guinea,1996,1090
Paraguay,1996,16
Peru,1996,1679
Philippines,1996,27
Rwanda,1996,265
Sierra Leone,1996,29
Sri Lanka,1996,12
Tanzania,1996,970
Thailand,1996,873
Timor-Leste,1996,0
Togo,1996,85
Trinidad & Tobago,1996,4
Uganda,1996,4655
Venezuela,1996,495
Viet Nam,1996,3779
Yemen,1996,42
Zambia,1996,36
Zimbabwe,1996,150
Angola,1997,50
