Countries,Year,Imports in (x1000 60kg) bags,Re-exports by importing countries in (x1000 60kg) bags
Austria,1990,1880,415
Belgium,1990,999,999
Belgium/Luxembourg,1990,2015,891
Bulgaria,1990,268,166
Croatia,1990,999,999
Cyprus,1990,50,16
Czechia,1990,659,999
Denmark,1990,959,94
Estonia,1990,999,999
Finland,1990,1095,19
France,1990,6301,913
Germany,1990,13671,3292
Greece,1990,642,11
Hungary,1990,574,999
Ireland,1990,129,10
Italy,1990,5242,383
Latvia,1990,999,999
Lithuania,1990,999,999
Luxembourg,1990,999,999
Malta,1990,21,1
Netherlands,1990,3128,585
Poland,1990,435,100
Portugal,1990,552,31
Romania,1990,442,999
Slovakia,1990,0,999
Slovenia,1990,0,999
Spain,1990,3053,265
Sweden,1990,1767,77
Japan,1990,5330,20
Norway,1990,742,8
Russian Federation,1990,0,999
Switzerland,1990,1171,166
Tunisia,1990,101,999
United Kingdom,1990,2898,482
United States of America,1990,21007,825
Austria,1991,2058,756
Belgium,1991,999,999
Belgium/Luxembourg,1991,1746,1038
Bulgaria,1991,200,183
Croatia,1991,999,999
Cyprus,1991,54,7
Czechia,1991,525,999
Denmark,1991,983,74
Estonia,1991,999,999
Finland,1991,1033,21
France,1991,6553,1007
Germany,1991,13229,3252
Greece,1991,407,20
Hungary,1991,641,261
Ireland,1991,118,5
Italy,1991,4630,402
Latvia,1991,999,999
Lithuania,1991,999,999
Luxembourg,1991,999,999
Malta,1991,16,3
Netherlands,1991,3121,633
Poland,1991,250,7
Portugal,1991,557,34
Romania,1991,335,0
Slovakia,1991,0,999
Slovenia,1991,0,999
Spain,1991,2970,268
Sweden,1991,1717,114
Japan,1991,5510,34
Norway,1991,761,4
Russian Federation,1991,0,999
Switzerland,1991,1130,151
Tunisia,1991,90,999
United Kingdom,1991,2806,485
United States of America,1991,19840,1010
Austria,1992,2206,960
Belgium,1992,999,999
Belgium/Luxembourg,1992,1828,1131
Bulgaria,1992,182,7
Croatia,1992,168,34
Cyprus,1992,41,4
Czechia,1992,475,3
Denmark,1992,1062,103
Estonia,1992,16,3
Finland,1992,1055,35
France,1992,6612,1023
Germany,1992,13789,3318
Greece,1992,349,29
Hungary,1992,522,174
Ireland,1992,95,4
Italy,1992,4595,465
Latvia,1992,20,1
Lithuania,1992,2,0
Luxembourg,1992,999,999
Malta,1992,18,2
Netherlands,1992,3205,648
Poland,1992,1787,137
Portugal,1992,591,40
Romania,1992,603,3
Slovakia,1992,0,999
Slovenia,1992,123,7
Spain,1992,3414,287
Sweden,1992,1772,138
Japan,1992,5326,27
Norway,1992,739,3
Russian Federation,1992,1382,5
Switzerland,1992,1101,155
Tunisia,1992,111,999
United Kingdom,1992,3088,570
United States of America,1992,22939,1377
Austria,1993,1836,535
Belgium,1993,999,999
Belgium/Luxembourg,1993,2063,1274
Bulgaria,1993,397,70
Croatia,1993,163,31
Cyprus,1993,77,2
Czechia,1993,514,66
Denmark,1993,994,103
Estonia,1993,51,7
Finland,1993,1301,198
France,1993,6334,976
Germany,1993,14107,3282
Greece,1993,375,227
Hungary,1993,668,111
Ireland,1993,111,3
Italy,1993,5594,664
Latvia,1993,60,18
Lithuania,1993,9,0
Luxembourg,1993,999,999
Malta,1993,23,1
Netherlands,1993,2804,425
Poland,1993,1670,126
Portugal,1993,666,38
Romania,1993,425,6
Slovakia,1993,288,13
Slovenia,1993,152,5
Spain,1993,2813,168
Sweden,1993,1757,138
Japan,1993,5691,34
Norway,1993,693,3
Russian Federation,1993,1795,0
Switzerland,1993,1060,166
Tunisia,1993,101,999
United Kingdom,1993,3197,629
United States of America,1993,19329,1720
