claw length cm,endangered,size cm,specie,sub specie,tail length cm,weight kg
6.825,critically endangered,52.004,three toed,Pygmy three toed sloth,4.448,3.57
8.26,critically endangered,50.082,three toed,Pygmy three toed sloth,6.286,2.844
8.662,critically endangered,51.498,three toed,Pygmy three toed sloth,4.551,1.259
8.467,critically endangered,50.122,three toed,Pygmy three toed sloth,6.983,2.392
7.104,critically endangered,51.364,three toed,Pygmy three toed sloth,5.411,3.163
7.268,critically endangered,50.54,three toed,Pygmy three toed sloth,3.672,3.305
7.195,critically endangered,49.662,three toed,Pygmy three toed sloth,4.179,2.854
7.455,critically endangered,50.99,three toed,Pygmy three toed sloth,3.418,3.861
6.773,critically endangered,48.389,three toed,Pygmy three toed sloth,6.601,4.492
8.16,critically endangered,49.495,three toed,Pygmy three toed sloth,4.058,0.964
7.43,critically endangered,49.652,three toed,Pygmy three toed sloth,4.446,2.551
7.31,critically endangered,50.094,three toed,Pygmy three toed sloth,6.853,5.494
8.885,critically endangered,49.511,three toed,Pygmy three toed sloth,6.179,3.066
7.041,critically endangered,50.774,three toed,Pygmy three toed sloth,6.346,2.897
8.341,critically endangered,49.116,three toed,Pygmy three toed sloth,5.527,2.444
8.372,critically endangered,51.097,three toed,Pygmy three toed sloth,4.803,2.837
7.825,critically endangered,51.339,three toed,Pygmy three toed sloth,4.516,3.732
6.261,critically endangered,50.176,three toed,Pygmy three toed sloth,5.499,1.759
5.262,critically endangered,49.417,three toed,Pygmy three toed sloth,5.13,1.417
8.271,critically endangered,51.06,three toed,Pygmy three toed sloth,6.174,2.575
7.291,critically endangered,50.201,three toed,Pygmy three toed sloth,6.148,3.39
7.734,critically endangered,48.931,three toed,Pygmy three toed sloth,5.629,4.526
8.147,critically endangered,50.052,three toed,Pygmy three toed sloth,5.087,1.976
8.447,critically endangered,51.47,three toed,Pygmy three toed sloth,6.214,1.916
9.378,critically endangered,50.913,three toed,Pygmy three toed sloth,6.37,4.569
7.144,critically endangered,49.755,three toed,Pygmy three toed sloth,5.164,2.752
8.998,critically endangered,50.374,three toed,Pygmy three toed sloth,5.086,2.919
8.647,critically endangered,50.638,three toed,Pygmy three toed sloth,3.75,2.976
7.114,critically endangered,50.213,three toed,Pygmy three toed sloth,5.428,2.329
6.663,critically endangered,51.189,three toed,Pygmy three toed sloth,7.206,2.128
7.618,critically endangered,48.803,three toed,Pygmy three toed sloth,5.526,2.495
7.845,critically endangered,47.737,three toed,Pygmy three toed sloth,4.12,1.96
7.967,critically endangered,50.587,three toed,Pygmy three toed sloth,7.134,1.383
6.981,critically endangered,51.205,three toed,Pygmy three toed sloth,6.137,2.349
6.26,critically endangered,49.816,three toed,Pygmy three toed sloth,6.376,2.717
7.569,critically endangered,51.233,three toed,Pygmy three toed sloth,6.04,2.858
6.033,critically endangered,49.401,three toed,Pygmy three toed sloth,6.049,2.842
8.829,critically endangered,50.425,three toed,Pygmy three toed sloth,4.835,1.55
8.62,critically endangered,50.771,three toed,Pygmy three toed sloth,4.727,4.363
7.102,critically endangered,52.019,three toed,Pygmy three toed sloth,5.65,3.116
7.898,critically endangered,49.059,three toed,Pygmy three toed sloth,4.292,3.13
7.587,critically endangered,50.877,three toed,Pygmy three toed sloth,6.435,3.097
5.512,critically endangered,50.352,three toed,Pygmy three toed sloth,5.65,3.525
7.865,critically endangered,51.299,three toed,Pygmy three toed sloth,5.232,3.85
5.868,critically endangered,49.0,three toed,Pygmy three toed sloth,6.386,1.407
7.059,critically endangered,50.259,three toed,Pygmy three toed sloth,5.352,1.634
7.905,critically endangered,50.576,three toed,Pygmy three toed sloth,4.807,2.636
8.534,critically endangered,50.106,three toed,Pygmy three toed sloth,5.746,5.745
8.112,critically endangered,49.317,three toed,Pygmy three toed sloth,5.457,2.664
7.221,critically endangered,51.054,three toed,Pygmy three toed sloth,5.69,4.442
7.019,critically endangered,49.829,three toed,Pygmy three toed sloth,6.777,1.965
7.229,critically endangered,49.655,three toed,Pygmy three toed sloth,4.682,0.948
7.355,critically endangered,49.968,three toed,Pygmy three toed sloth,6.478,1.333
6.559,critically endangered,49.835,three toed,Pygmy three toed sloth,6.167,3.968
7.286,critically endangered,48.72,three toed,Pygmy three toed sloth,5.38,5.7
7.313,critically endangered,48.703,three toed,Pygmy three toed sloth,5.699,2.015
6.12,critically endangered,50.694,three toed,Pygmy three toed sloth,6.026,3.438
8.465,critically endangered,51.984,three toed,Pygmy three toed sloth,4.237,3.204
5.297,critically endangered,49.46,three toed,Pygmy three toed sloth,5.747,3.091
8.171,critically endangered,51.354,three toed,Pygmy three toed sloth,5.029,1.769
8.437,critically endangered,50.565,three toed,Pygmy three toed sloth,5.246,2.678
8.859,critically endangered,51.305,three toed,Pygmy three toed sloth,6.286,3.888
8.065,critically endangered,51.681,three toed,Pygmy three toed sloth,3.646,3.233
7.489,critically endangered,51.2,three toed,Pygmy three toed sloth,5.941,4.394
6.901,critically endangered,48.936,three toed,Pygmy three toed sloth,5.849,1.863
7.255,critically endangered,49.716,three toed,Pygmy three toed sloth,4.914,4.278
8.609,critically endangered,51.726,three toed,Pygmy three toed sloth,6.883,1.188
9.072,critically endangered,50.969,three toed,Pygmy three toed sloth,7.299,1.691
6.319,critically endangered,49.303,three toed,Pygmy three toed sloth,4.1,1.794
8.051,critically endangered,49.588,three toed,Pygmy three toed sloth,3.395,3.058
8.544,critically endangered,52.075,three toed,Pygmy three toed sloth,4.812,2.573
7.021,critically endangered,49.596,three toed,Pygmy three toed sloth,6.118,3.081
8.83,critically endangered,50.115,three toed,Pygmy three toed sloth,6.198,4.153
5.746,vulnerable,65.815,three toed,Maned three toed sloth,5.069,4.175
9.977,vulnerable,63.677,three toed,Maned three toed sloth,5.464,4.976
8.857,vulnerable,64.526,three toed,Maned three toed sloth,6.742,5.847
8.941,vulnerable,63.789,three toed,Maned three toed sloth,5.25,7.087
7.825,vulnerable,63.747,three toed,Maned three toed sloth,5.422,4.951
7.016,vulnerable,66.549,three toed,Maned three toed sloth,3.458,6.009
6.075,vulnerable,62.638,three toed,Maned three toed sloth,3.914,7.218
8.178,vulnerable,63.911,three toed,Maned three toed sloth,4.035,5.913
6.514,vulnerable,64.194,three toed,Maned three toed sloth,5.8,6.635
7.306,vulnerable,61.993,three toed,Maned three toed sloth,4.181,4.051
4.947,vulnerable,63.264,three toed,Maned three toed sloth,3.379,6.891
7.925,vulnerable,62.745,three toed,Maned three toed sloth,5.687,4.664
6.789,vulnerable,63.175,three toed,Maned three toed sloth,5.129,4.799
7.139,vulnerable,64.098,three toed,Maned three toed sloth,3.992,6.427
7.098,vulnerable,61.599,three toed,Maned three toed sloth,5.114,5.93
6.801,vulnerable,63.303,three toed,Maned three toed sloth,2.107,5.101
7.99,vulnerable,63.415,three toed,Maned three toed sloth,3.887,4.246
8.055,vulnerable,62.183,three toed,Maned three toed sloth,4.548,4.784
7.213,vulnerable,62.6,three toed,Maned three toed sloth,5.874,7.646
8.192,vulnerable,63.249,three toed,Maned three toed sloth,5.283,5.963
8.5,vulnerable,62.524,three toed,Maned three toed sloth,5.003,5.21
4.628,vulnerable,61.865,three toed,Maned three toed sloth,2.616,3.752
8.598,vulnerable,63.073,three toed,Maned three toed sloth,4.241,6.086
6.629,vulnerable,63.003,three toed,Maned three toed sloth,5.885,4.529
10.012,vulnerable,63.308,three toed,Maned three toed sloth,4.028,4.44
7.919,vulnerable,63.978,three toed,Maned three toed sloth,5.069,6.986
8.543,vulnerable,61.204,three toed,Maned three toed sloth,5.642,6.157
6.928,vulnerable,64.074,three toed,Maned three toed sloth,4.99,4.545
8.1,vulnerable,62.491,three toed,Maned three toed sloth,5.675,6.826
7.637,vulnerable,65.444,three toed,Maned three toed sloth,5.307,5.37
8.584,vulnerable,65.054,three toed,Maned three toed sloth,6.456,4.577
8.004,vulnerable,64.306,three toed,Maned three toed sloth,6.093,7.441
6.976,vulnerable,63.189,three toed,Maned three toed sloth,4.905,7.146
7.791,vulnerable,63.942,three toed,Maned three toed sloth,5.947,8.005
6.438,vulnerable,63.834,three toed,Maned three toed sloth,4.653,5.707
8.11,vulnerable,63.708,three toed,Maned three toed sloth,5.672,4.297
7.563,vulnerable,63.22,three toed,Maned three toed sloth,5.225,5.948
8.003,vulnerable,63.146,three toed,Maned three toed sloth,3.655,6.49
7.467,vulnerable,64.823,three toed,Maned three toed sloth,4.544,4.726
7.483,vulnerable,63.974,three toed,Maned three toed sloth,5.24,6.594
7.129,vulnerable,64.528,three toed,Maned three toed sloth,5.328,5.412
