Title,Author,Original Price (COP),Actual Price (COP),Discount %,Units Left,Link,Number of Opinions,Extra Information,Date
Siddartha,Hesen, 28.000, 21.000,25,Quedan 89 unidades,https://www.buscalibre.com.co/libro-siddartha/9789589196687/p/32485405,(0),"['', 'Nuevo']",2023-10-21
Siddartha,Array, 101.069, 50.534,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddartha/9781720469360/p/53434381,(0),"['Createspace Independent Publishing Platform', ' 2018', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha,Hermann Hesse, 129.700, 64.850,50,Quedan 5 unidades,https://www.buscalibre.com.co/libro-siddhartha/9788466350952/p/52804400,(14),"['Debolsillo', ' 2020', ' 1ª edición', ' Tapa dura', 'Nuevo']",2023-10-21
Siddhartha (Ed. Escolar),Hermann Hesse, 46.000, 27.600,40,Quedan 69 unidades,https://www.buscalibre.com.co/libro-siddhartha-ed-escolar/9789588611280/p/17946638,(12),"['Debolsillo', ' 2010', ' Tapa blanda', 'Nuevo']",2023-10-21
Siddhartha (tapa dura),Hermann Hesse, 49.900, 29.940,40,Quedan 2 unidades,https://www.buscalibre.com.co/libro-siddhartha-tapa-dura/9789807716345/p/54885841,(1),"['Lucemar', ' 2020', ' Tapa Dura', 'Nuevo']",2023-10-21
Siddhartha. Alma de Niño,Hermann Hesse, 99.699, 49.849,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-alma-de-nino/9789561230200/p/48128579,(7),"['Zig-Zag', ' 2013', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha,"Hesse, Hermann", 93.320, 46.660,50,Quedan 5 unidades,https://www.buscalibre.com.co/libro-siddhartha/9788499899855/p/7110928,(8),"['Debolsillo', ' 2017', ' 001ª edición', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha,, 95.625, 47.813,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9789563161816/p/51420876,(0),"['Origo Ediciones', 'Usado']",2023-10-21
La Armonía de las Células,Siddhartha Mukherjee, 79.000, 47.400,40,Quedan 62 unidades,https://www.buscalibre.com.co/libro-la-armonia-de-las-celulas/9789585132887/p/54962669,(3),"['Debate', ' 2023', ' 1ª edición', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha,Hermann Hesse, 94.900, 75.920,20,Quedan 9 unidades,https://www.buscalibre.com.co/libro-siddhartha/9788435009027/p/998421,(2),"['Edhasa', ' 2002', ' 1ª edición', ' Tapa Dura', 'Nuevo']",2023-10-21
"Siddhartha, Alma de Nino",, 90.359, 45.180,50,Quedan 5 unidades,https://www.buscalibre.com.co/libro-siddhartha-alma-de-nino/9789561217768/p/1063253,(0),"['Zig Zag', ' 2009', ' Tapa blanda', 'Nuevo']",2023-10-21
Siddhartha,Hermann Hesse, 105.548, 52.774,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9789807716000/p/47337683,(0),"['Lucemar', ' 2014', ' 1ª edición', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha,"Hesse, Herman", 100.712, 50.356,50,Quedan 5 unidades,https://www.buscalibre.com.co/libro-siddhartha/9789568643102/p/51439719,(0),"['Ediciones Promocionales Ltda.', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha,"Hesse, Hermann", 103.764, 51.882,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9789706272010/p/1439095,(0),"['Tomo', ' Tapa Blanda', 'Usado']",2023-10-21
Siddhartha,Hermann Hesse, 123.870, 61.935,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9789875660830/p/1019634,(1),"['Debolsillo', ' 2005', ' 1ª edición', ' Tapa blanda', 'Nuevo']",2023-10-21
Las Leyes de la Medicina,Siddhartha Mukherjee, 84.513, 42.257,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-las-leyes-de-la-medicina/9788492921775/p/49001414,(1),"['Empresa Activa', ' 2017', ' 1ª edición', ' Tapa Blanda', 'Nuevo']",2023-10-21
El gen,Siddhartha Mukherjee, 153.669, 76.834,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-el-gen/9786073812047/p/54071651,(0),"['Debolsillo', ' Esp - Random House Mondadori', ' 2022', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha,Hermann Hesse, 197.243, 98.621,50,Quedan 39 unidades,https://www.buscalibre.com.co/libro-siddhartha/9789876282451/p/35345905,(2),"['Edhasa', ' 2013', ' 1ª edición', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha (libro en Inglés),"Hesse, Hermann", 79.067, 39.534,50,Quedan 5 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9780553208849/p/1640288,(0),"['Bantam', ' 1982', ' Noª edición', ' Libro de bolsillo', 'Nuevo']",2023-10-21
siddhartha alma de nino,, 95.625, 47.813,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha-alma-de-nino/9789561217751/p/2184954,(0),"['zig-zag', 'Usado']",2023-10-21
El gen (edición en castellano),Siddhartha Mukherjee, 248.233, 124.117,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-el-gen-edicion-en-castellano/9788499926520/p/48068644,(14),"['DEBATE', ' 2017', ' 001ª edición', ' Tapa dura', 'Nuevo']",2023-10-21
Siddhartha (Clasicos Literatura),Hermann Hesse, 141.320, 70.660,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha-clasicos-literatura/9789706660732/p/2009693,(0),"['Pluton Ediciones', ' 2006', ' 1ª edición', ' Tapa Blanda', 'Usado']",2023-10-21
Siddhartha,Hermann Hesse, 94.788, 47.394,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9789688670071/p/4190955,(0),"['Colofon', ' 2012', ' Tapa Blanda', 'Nuevo']",2023-10-21
El Emperador de Todos los Males: Una Biografía del Cáncer,"Mukherjee, Siddhartha", 131.584, 65.792,50,Quedan 4 unidades,https://www.buscalibre.com.co/libro-el-emperador-de-todos-los-males-una-biografia-del-cancer/9786073196512/p/53602203,(3),"['Debolsillo', ' 2021', ' Tapa Blanda', 'Nuevo']",2023-10-21
Fanáticos,"Mukherjee, Siddhartha", 151.003, 75.501,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-fanaticos/9781439170915/p/4453029,(0),"['Scribner Book Company', ' 2018', ' 1ª edición', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha,Hermann Hesse, 138.895, 69.448,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9786073101523/p/4121286,(1),"['Debolsillo', ' 2010', ' 1ª edición', ' Tapa blanda', 'Nuevo']",2023-10-21
La Armonia de las Celulas,Siddhartha Mukherjee, 184.196, 92.098,50,Quedan 5 unidades,https://www.buscalibre.com.co/libro-la-armonia-de-las-celulas/9788419399465/p/54624506,(0),"['Debate', ' 2023', ' Tapa Dura', 'Nuevo']",2023-10-21
Siddhartha,Hermann Hesse, 118.849, 59.425,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9788497596664/p/1817751,(0),"['Debolsillo', ' 2003', ' 001ª edición', ' Tapa blanda', 'Usado']",2023-10-21
Siddhartha,Hermann Hesse, 124.895, 62.448,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9788401426711/p/52176484,(0),"['Plaza & Janes Editores', ' 1999', ' 15ª edición', ' Tapa Blanda', 'Usado']",2023-10-21
Siddhartha,Hesse Hermann, 101.831, 50.915,50,Quedan 3 unidades,https://www.buscalibre.com.co/libro-siddhartha/9789974793187/p/1256030,(0),"['Centro Edi', '', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha (Mint Editions) (libro en Inglés),"Hesse, Hermann ; Editions, Mint", 84.520, 42.260,50,Quedan 77 unidades,https://www.buscalibre.com.co/libro-siddhartha-mint-editions-libro-en-ingles/9781513263267/p/52505035,(0),"['Mint Editions', ' 2020', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha,H. Hesse, 121.066, 60.533,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9788401429057/p/52315548,(0),"['Plaza & Janés', ' 1990', ' Tapa blanda', 'Usado']",2023-10-21
Siddhartha,Hermann Hesse, 143.033, 71.516,50,Quedan 15 unidades,https://www.buscalibre.com.co/libro-siddhartha/9788499082523/p/3429679,(1),"['Debolsillo', ' 2010', ' Tapa blanda', 'Nuevo']",2023-10-21
